Formula,Space Group Number,Formation Energy,Volume,Density,Total Magnetization
Mg2Si,2,0.146792450833333,231.19438574702951,2.203442329638086,0.000662199999999
Mg2Si3,2,0.233589736999999,177.35778310594492,2.487965399980391,0.001380999999999
Mg2Si3,2,0.125906393,361.4814808211668,2.441397699170759,0.0008118
Mg2Si3,2,0.116489671,177.5348907106272,2.485483422546214,0.0037673
Mg2Si3,2,0.142036309,189.73041879817245,2.32572104452166,0.001442699999999
Mg2Si3,2,0.152730095,180.4540581758022,2.445276278325272,0.0015115
Mg2Si3,2,0.1413084845,372.3707982479006,2.370003393719692,0.000147
Mg2Si3,2,0.150681329,181.4770425053865,2.431492279645897,0.0095766
Mg2Si3,2,0.186753417999999,194.1261799963998,2.273057800823161,4.560000000000002e-05
Mg2Si3,2,0.151097166499999,368.6624787557796,2.393842895398804,0.001188499999999
Mg2Si3,2,0.198950434,188.31088361019604,2.343252919455399,0.0014046
Mg2Si3,2,0.203647295999999,350.38653786693334,2.518704231453067,0.0017086
Mg2Si3,2,0.184300035999999,383.76704827108034,2.299624367296518,0.0004809
Mg2Si3,2,0.207750027499999,372.3884614021448,2.369890979561249,0.002564
Mg2Si3,2,0.205307198999999,355.63789245100054,2.481513006073244,0.0010026
Mg2Si3,2,0.17716999,179.19064212964588,2.4625171411884472,0.0009758
Mg2Si3,2,0.112159430999999,193.20642557281835,2.283878636419933,0.0031424
Mg2Si3,2,0.166368547999999,186.0821889507085,2.371317912117336,0.0014674
Mg2Si3,2,0.2274579025,404.1758578658854,2.183505121333782,0.000826199999999
Mg3Si2,2,0.046814876499999,387.8895253754724,2.210447376671355,0.000603599999999
Mg3Si2,2,0.045902970999999,196.2348020833037,2.184651689460596,0.0044616
Mg3Si2,2,0.058705276499999,387.0045674017418,2.215501976012729,0.001351899999999
Mg3Si2,2,0.029846868999999,97.22530340711704,2.204697115251549,0.000969399999999
Mg3Si2,2,0.065370732999999,383.6389303310014,2.234938417393517,0.0017519
Mg3Si2,2,0.106554288999999,204.50032646588625,2.096352114986816,0.0004277
Mg3Si4,2,0.145267176428571,258.4685316708267,2.3803786393068123,0.000997
Mg3Si4,2,0.197781671428571,252.47489816671745,2.436887691369462,0.008599299999999
Mg4Si3,2,0.117521565714285,262.17614142796685,2.298827164657397,0.0187212
Mg4Si3,2,0.038253889285714,271.6107733636677,2.218975441864009,7.8e-05
Mg4Si3,2,0.034049158571428,286.86582083766785,2.100974016631717,0.0036444
Mg4Si3,2,0.055336936428571,280.3166260947232,2.150060252351957,0.0001241
Mg4Si3,2,0.020876875714285,271.5086703850304,2.219809905094284,0.001162
Mg4Si3,2,0.132153665714285,267.37657431619306,2.254115332957083,0.0001739
Mg4Si3,2,0.126402457857143,260.35732274298203,2.314886439490073,0.0145309
Mg4Si3,2,0.128864751428571,259.2436542420433,2.324830814477565,0.0003363
Mg4Si3,2,0.074626437142857,137.43150155828675,2.192720115133343,0.000829
Mg4Si3,2,0.134340352857142,260.67205620765003,2.312091463150787,0.0158763
Mg4Si3,2,0.116662872142857,284.99946017717866,2.114732552352851,0.0010107
Mg4Si3,2,0.177331685714285,292.6430234824657,2.059497707027284,6.06e-05
Mg4Si3,2,1.6883611314285711,259.2436858612016,2.324830530925071,0.000798099999999
Mg4Si7,2,0.182733334545454,392.168010383995,2.48820446758053,0.0001875
Mg4Si7,2,0.171389846363636,414.4024898944788,2.354701574616733,0.000844399999999
Mg5Mn3,2,0.281986441400862,301.77304591624784,3.151224580182766,21.5629042
Mg5Si6,2,0.109990767727272,408.6856836114426,2.356918527424757,0.0116218
Mg5Si6,2,0.108255802727273,405.5219896885887,2.3753061093844963,0.0005658
Mg5Si6,2,0.117697593181818,417.02306234637234,2.3097975785257923,0.0071397
Mg5Si6,2,0.098485276818181,202.23997263373863,2.3814255091438072,2.67e-05
MgCl2,2,-2.133620075,282.96069611413986,1.117480890188138,0.0008026
MgO2,2,-1.6529978791666662,137.53472559627068,2.719157917178939,0.0013996
MgSi,2,0.1247379275,217.1331674204821,2.403957156860438,0.000428799999999
MgSi,2,0.140267131666666,226.9790353371426,2.299678607043703,0.000328
MgSi,2,0.130069713333333,213.27039188104013,2.447497879140194,0.0001032
MgSi,2,0.093914807083333,444.1612170915293,2.350402564322397,0.0009993
MgSi,2,0.083834219166666,219.42786476783985,2.378817441278528,0.000395199999999
MgSi,2,0.06225912,224.75913764875312,2.322392038307143,0.004974999999999
MgSi,2,0.108787544166666,232.97154887998207,2.240526082784241,0.0211927
MgSi,2,0.087192379166666,446.1114627061772,2.340127414103389,0.0031164
MgSi,2,0.142255778333333,219.7923959502208,2.374872113093771,0.0035404
MgSi,2,0.102781876666666,221.9133656499241,2.3521739228437597,0.0025826
MgSi,2,0.122679908333333,216.07546783467072,2.415724640298517,0.0005048
MgSi,2,0.069624714166666,226.73659593090204,2.302137551590113,0.0124167
MgSi,2,0.097636108333333,453.0327506470212,2.304375703817235,0.000597099999999
MgSi,2,0.099888256249999,444.3764788406606,2.34926399873387,0.0041382
MgSi,2,0.036410084999999,227.9544539204242,2.289838267404326,0.000225799999999
MgSi,2,0.107004755833333,222.74407240392551,2.34340167250639,0.0024331
MgSi,2,0.126487799166666,225.9129488956316,2.310530823327838,0.005556699999999
MgSi2,2,0.192302290833332,203.31734733321065,2.629063258526457,0.0021057
MgSi2,2,0.163048799583332,469.8152549192225,2.275507924010306,7.92e-05
MgSi2,2,0.228122418749999,418.6660353909566,2.55351102076217,0.0121858
